filename,time(s),rmse,division_factor,maximum_correspondence_distance
pairwise_noise_xyz_level_01_01_rot_05,1.135465145111084,0.0019208797564818812,1.4,0.0025
pairwise_noise_xyz_level_01_01_rot_05,1.0845396518707275,0.003777829804519491,1.4,0.0050
pairwise_noise_xyz_level_01_01_rot_05,1.030452013015747,0.00671454667998761,1.4,0.0100
pairwise_noise_xyz_level_01_01_rot_05,1.0150783061981201,0.012934789195195332,1.4,0.0250
pairwise_noise_xyz_level_01_01_rot_05,1.0541841983795166,0.0018954089000268236,1.2,0.0025
pairwise_noise_xyz_level_01_01_rot_05,1.0640149116516113,0.003803275926783306,1.2,0.0050
pairwise_noise_xyz_level_01_01_rot_05,1.0189998149871826,0.006795771756771895,1.2,0.0100
pairwise_noise_xyz_level_01_01_rot_05,1.1904897689819336,0.012827982046520511,1.2,0.0250
pairwise_noise_xyz_level_01_01_rot_05,1.1547882556915283,0.0019682121752820046,1.0,0.0025
pairwise_noise_xyz_level_01_01_rot_05,1.1216895580291748,0.0037528322718781656,1.0,0.0050
pairwise_noise_xyz_level_01_01_rot_05,1.1754403114318848,0.0067278507636772305,1.0,0.0100
pairwise_noise_xyz_level_01_01_rot_05,1.3324792385101318,0.0128147550399731,1.0,0.0250
pairwise_noise_xyz_level_01_02_rot_05,1.1241354942321777,0.0019490829318364823,1.4,0.0025
pairwise_noise_xyz_level_01_02_rot_05,1.0700416564941406,0.0037849348320399415,1.4,0.0050
pairwise_noise_xyz_level_01_02_rot_05,1.0453083515167236,0.006982057914658991,1.4,0.0100
pairwise_noise_xyz_level_01_02_rot_05,1.0208868980407715,0.014830326169921578,1.4,0.0250
pairwise_noise_xyz_level_01_02_rot_05,1.104339599609375,0.0018462358886584052,1.2,0.0025
pairwise_noise_xyz_level_01_02_rot_05,1.1593499183654785,0.003833664816298063,1.2,0.0050
pairwise_noise_xyz_level_01_02_rot_05,1.2272932529449463,0.0069766804058467215,1.2,0.0100
pairwise_noise_xyz_level_01_02_rot_05,1.0698127746582031,0.014977969057592614,1.2,0.0250
pairwise_noise_xyz_level_01_02_rot_05,1.088986873626709,0.001962238194121575,1.0,0.0025
pairwise_noise_xyz_level_01_02_rot_05,1.1294262409210205,0.0037502833412661786,1.0,0.0050
